Cases,Constitutionalisation of Electoral Disclosure,Evidentiary Standards & Burdens,Material Effect,Pleading & Maintainability Jurisprudence,Substantial Compliance,Election Exceptionalism & Procedural Restraint
2 - Kancharla Bhupal Reddy and anr. v. Komatireddy Venkat Reddy,No,No,No,No,No,No
2 - Municipal-income-and-crime-Raj-HC-Sulbha Sinsinwar vs Beena,No,No,No,No,No,No
ALL-HC-Mohhamad Aslam vs Sri Ram Feran (2),No,No,No,Yes,No,No
AP-HC-KolusuParthasarthy-vs-AP (2),No,No,No,No,No,No
All-HC-Pallavi Singh Patel  vs. Election Commission Of India (2),Yes,No,No,No,No,No
Bom-HC-Sanjay Jagannathrao Jadhav-vs-Kale-Vasantrao (2),Yes,No,No,Yes,No,No
Cal-HC-Gopal Seth Vs. Election Commission of India (2),No,No,No,No,No,No
Del-HC-RAMESH  versus SMT. MEENAKSHI LEKHI (2),No,No,No,No,No,No
Del-HC-ROHITASH-vs-CEO-Delhi (2),No,No,No,No,No,No
Gau-HC-Nuney Tayang-vs-KarikhoKri (2),Yes,Yes,Yes,Yes,Yes,No
HP-HC-BasantSingh vs HP (2),Yes,No,No,No,No,No
Jha-HC-Birendra Mandal Versus Irfan Ansari (2),No,No,No,No,No,No
Jha-HC-Koche Munda Versus Paulus Surin (2),No,No,No,No,No,No
Jha-HC-Suresh Kumar Baitha vs Smmari Lal (2),No,Yes,No,Yes,No,Yes
Jhar-HC-NishikantDubey-vs-Jharkhand (2),No,No,No,No,No,No
Kar-HC-B.G.Uday-vs-H.G. Prashanth (2),Yes,No,No,No,No,No
Kar-HC-N MUNIANJAPPA vs G MANJUNATHA (2),No,Yes,No,No,No,No
Kar-HC-N. H. SHIVASHANKAR REDDY vs. K. H. PUTTASWAMY GOWDA (2),Yes,No,No,No,No,No
Ker-HC-A. NAIZAM vs CEO (2),Yes,No,No,No,No,No
Ker-HC-K.B.GANESH KUMAR vs P.K.Raju (2),No,No,No,No,No,No
Ker-HC-MANI C. KAPPAN vs K.M.Mani (2),No,No,No,Yes,No,Yes
Ker-HC-SHAJI A.K vs K.C. Joseph (2),No,No,No,No,No,No
Ker-HC-edu-and-crime-Anil vs BABU M.PALISSERY (2),No,No,No,Yes,No,Yes
Municipal-CHG-HC-Laxman Shriwas v Manakram Sahu (2),Yes,No,Yes,No,No,No
Municipal-CHG-HC-crime-and-caste-Isup Khan vs Narsingh Dewangan (2),Yes,No,Yes,No,No,Yes
Municipal-Guj-HC-NARENDRASINH MULUBHA CHAUHAN Versus STATE ELECTION COMMISSION (2),Yes,No,No,No,No,No
Municipal-Kar-HC-BAZIL DSOUZA vs Anil Kumar (2),Yes,No,No,No,No,Yes
Municipal-Ker-HC-BABU JOSEPH vs Kerala (2),No,No,No,No,No,No
Municipal-criminal-and-caste-CHG-HC-Abdul Rahman v Nutan Rajwade (2),Yes,No,Yes,Yes,No,Yes
Municipal-income-and-crime-Raj-HC-Sulbha Sinsinwar vs Beena (2),No,No,No,No,No,No
Ori-HC-Chiranjib Biswal-Versus- Bishnu Charan Das (2),Yes,No,No,No,No,Yes
Ori-HC-Dibya Sankar Mishra - Versus – Gobardhan Dash (2),No,No,No,No,No,No
Panchayat-Kar-HC-Tanuja_vs-Devaraj (2),Yes,No,No,No,No,No
Panchayat-Pat-HC-Manju Devi vs SEC (2),Yes,No,No,No,No,Yes
Pat-HC-Bamshankar Chaudhary vs Bhudeo Chaudhary (2),Yes,No,Yes,Yes,No,Yes
Pat-HC-Lal Das Rai vs Hulas Pandey (2),Yes,No,No,No,No,Yes
Pat-HC-Santosh Kumar Singh vs Bihar (2),Yes,No,Yes,No,No,No
PnH-HC-Rina Garg VERSUS State of Haryana (2),No,No,No,No,No,No
PnH-HC-Sat Pal vs. Haryana (2),No,No,No,No,No,No
Raj-HC-Kanchan Kanwar-vs-Rajasthan (2),No,No,No,No,No,No
StrategicShifting-ALL-HC-ELECTION PETITION No. 10 of 2022 Ritesh Kumar Singh vs Abhay Singh (2),Yes,No,No,Yes,No,Yes
Tel-HC-Kancharla Bhupal Reddy  vs Komatireddy Venkat Reddy (2),Yes,No,No,No,No,No
Tel-HC-Madiraju Venkata Ramana vs Peddireddigari Ramachandra Reddy (2),Yes,No,No,Yes,Yes,Yes
Tel-HC-TeraChinappaReddy-vs-Telangana (2),No,No,No,No,No,No
Tel-HC-income-and-crime-Mopuragundu Thippeswamy vs Sri K.Eranna (2),Yes,Yes,Yes,Yes,No,No
